file_name,name,family,sub_family,manufacturer,designer,post_script,rf_related,rf_related_description
Grinched.ttf,Grinched,Grinched,Regular,High-Logic,High-Logic - Erwin Denissen 1999,NewUnicodeFont,False,"The font 'Grinched' was designed by Erwin Denissen in 1999 and manufactured by High-Logic, which is a company based in the Netherlands. There is no indication that the author or the font has any relation to Russia."
DejaVu_Sans_Condensed_Bold.ttf,DejaVu Sans Condensed Bold,DejaVu Sans Condensed,Bold,DejaVu fonts team,,DejaVuSansCondensed-Bold,True,"The DejaVu fonts project is an open-source initiative that extends the Bitstream Vera font family, which was originally developed by Bitstream Inc., a company based in the United States. However, the DejaVu fonts team includes contributors from various countries, including Russia. Therefore, the font has a relation to Russia through some of its contributors and maintainers."
BLAGO.ttf,BLAGO,BLAGO,Regular,Nikola Kovanovic,Nikola Kovanovic,BLAGO,False,"The designer and manufacturer, Nikola Kovanovic, is not related to Russia. Nikola Kovanovic is a Serbian name, indicating a relation to Serbia rather than Russia."
PragmaticaCondC.ttf,PragmaticaCondC,PragmaticaCondC,Normal,,,PragmaticaCondC,True,"The font 'PragmaticaCondC' is related to Russia as it was designed by a Russian type foundry or designer. Pragmatica is a well-known Russian typeface family created by the Russian type designer Vladimir Yefimov and his team at ParaType, a prominent Russian font foundry."
v_CCDivineRight.ttf,v_CCDivineRight-Regular,v_CCDivineRight,Regular,,,v_CCDivineRight-Regular,False,"There is no information indicating that the font 'v_CCDivineRight-Regular' or its author/designer is related to Russia. The manufacturer and designer fields are null, and the font name does not suggest any connection to Russia or any other specific country."
Modern_Led_Board-7.ttf,Modern LED Board-7,Modern LED Board-7,Regular,Style-7,Sizenko Alexander,ModernLEDBoard-7,True,"The designer, Sizenko Alexander, has a name of Slavic origin, commonly found in Russia and neighboring countries. Given the name and the manufacturer 'Style-7', it is likely that the font has a Russian connection through its designer."
SonetSerif_Italic.ttf,SonetSerif-Italic,SonetSerif,Italic,,,SonetSerif-Italic,False,There is no information indicating that the font 'SonetSerif-Italic' or its designer/manufacturer has any relation to Russia.
Luxor_Bold.ttf,Luxor,Luxor,Bold,,,Luxor,False,There is no information indicating that the font 'Luxor Bold' or its designer/manufacturer has any relation to Russia.
DS_Eraser2.ttf,DS Eraser2,DS Eraser2,Regular,,Dubina Nikolay,DSEraser2,True,"The designer of the font 'DS Eraser2' is Dubina Nikolay, which is a Russian name, indicating a relation to Russia."
DreamScar.ttf,DreamScar,DreamScar,Regular,,"Dennis Ludlow,",DreamScar,False,"The font 'DreamScar' is designed by Dennis Ludlow, who does not have any known relation to Russia. There is no indication that the font or its author is related to Russia or any Russian entities."
Rosamunda_One.ttf,Rosamunda One Normal,Rosamunda One,Normal,Alexandra Gophmann (rusification font Zither script) ,Alexandra Gophmann,RosamundaOne-Normal,True,"The font 'Rosamunda One Normal' is designed by Alexandra Gophmann, who is associated with Russia as indicated by the term 'rusification font Zither script' in the manufacturer field. This suggests that the font or its designer has a connection to Russia, likely through the process of adapting or creating fonts for the Russian language or market."
Anonymous_Pro_BI.ttf,Anonymous Pro Bold Italic,Anonymous Pro,Bold Italic,,Mark Simonson,AnonymousPro-BoldItalic,False,"The font 'Anonymous Pro Bold Italic' was designed by Mark Simonson, an American type designer. There is no known relation to Russia or Russian authors in the design or origin of this font."
LazurskiC_Italic.ttf,LazurskiC-Italic,LazurskiC,Italic,,,LazurskiC-Italic,True,"The font name 'LazurskiC' suggests a Slavic or Russian origin, as 'Lazurski' is a surname commonly found in Russia and neighboring countries. Although the manufacturer and designer are not specified, the name indicates a likely relation to Russia or Russian culture."
Ambassadore_Type_Shura.ttf,Ambassadore Type Shura,Ambassadore Type Shura,Regular,,,AmbassadoreTypeShura,True,"The font name 'Shura' is a common Russian diminutive for the name Alexander or Alexandra, suggesting a Russian cultural connection. Although the manufacturer and designer are not specified, the use of 'Shura' in the font name indicates a likely relation to Russia or Russian culture."
M+_2p.ttf,M+ 2p regular,M+ 2p,regular,,,mplus-2p-regular,False,The font 'M+ 2p regular' does not have any known relation to Russia. It is a Japanese font family designed primarily for use in Japanese typography.
Ramona_Modern.ttf,Ramona Modern,Ramona Modern,Regular,A.Gophmann digitization letters from posters 1912's,,RamonaModern,False,The font 'Ramona Modern' was digitized by A.Gophmann from letters on posters from the 1910s. There is no indication that the manufacturer or the font has any relation to Russia or Russian authors.
Pfennig_Italic.ttf,Pfennig Italic,Pfennig,Italic,,,PfennigItalic,False,There is no information indicating that the font 'Pfennig Italic' or its designer/manufacturer has any relation to Russia.
Cynthia_Handwriting_Bold_Italic.ttf,Cynthia Handwriting Bold Oblique,Cynthia Handwriting,Gras italique,,,CynthiaHandwriting-BOblique,False,The font 'Cynthia Handwriting Bold Oblique' has no known relation to Russia. There is no information about the manufacturer or designer linking it to Russia or any other country.
Dutch801_Rm_Win95BT_Italic.ttf,Dutch 801 Italic Win95BT,Dutch801 Rm Win95BT,Italic,,,Dutch801BT-Italic,False,"There is no information indicating that the font 'Dutch 801 Italic Win95BT' or its designer/manufacturer has any relation to Russia. The font name and style suggest a Dutch origin or inspiration, but no explicit connection to Russia is found."
CompactC.ttf,CompactC,CompactC,Regular,,,CompactC,False,"No information about the font's author or designer is provided, and there is no indication that the font or its author is related to Russia or any other country."
CreativeBlock_BB_Bold.ttf,CreativeBlock BB Bold,CreativeBlock BB,Bold,,,CreativeBlockBBBold,False,There is no information indicating that the font 'CreativeBlock BB Bold' or its designer/manufacturer has any relation to Russia.
Tahoma_Bold.ttf,Tahoma Gras,Tahoma,Gras,Ascender Corporation,Matthew Carter,Tahoma-Bold,False,"The font 'Tahoma Gras' (Tahoma Bold) was designed by Matthew Carter and manufactured by Ascender Corporation, both of which are not related to Russia. There is no known connection between the font or its author and Russia."
Futuris_Bold.ttf,Futuris Bold,Futuris,Bold,,,Futuris-Bold,False,The font 'Futuris Bold' has no known relation to Russia. There is no information about the designer or manufacturer linking it to Russia or any other country.
Classica_One.ttf,Classica One,Classica One,Regular,Gophmann A.L.,Gophmann A.L.,ClassicaOne,True,"The designer and manufacturer, Gophmann A.L., is a Russian type designer known for creating fonts in Russia."
FloraCTT.ttf,FloraCTT,FloraCTT,Regular,,,FloraC,False,There is no information indicating that the font 'FloraCTT' or its designer/manufacturer has any relation to Russia.
KabelCTT_Book.ttf,KabelCTT Book,KabelCTT Book,Regular,,,KabelC-Book,False,The font KabelCTT Book does not have any known relation to Russia. There is no information about the manufacturer or designer linking it to Russia or any other country.
Nokia_Standard_Multiscript_Bold.ttf,Nokia Standard Multiscript Bold,Nokia Standard Multiscript,Bold,Monotype Imaging Inc.,Monotype Imaging Drawing Office,NokiaStandardMultiscript-Bold,False,"The font 'Nokia Standard Multiscript Bold' is designed and manufactured by Monotype Imaging Inc., a company based in the United States. There is no direct relation to Russia or Russian authors in the font's design or manufacturing information."
Research_Remix.ttf,Research Remix,Research Remix,Regular,"Ivan Philipov, neogrey.com",Ivan Philipov,ResearchRemix,True,"The font 'Research Remix' is designed by Ivan Philipov, a name of Slavic origin commonly found in Russia and neighboring countries. The manufacturer website 'neogrey.com' is associated with Ivan Philipov, who is known to be a Russian type designer. Therefore, the font and its author are related to Russia."
CourierC_Bold.ttf,CourierC Bold,CourierC,Bold,,,CourierC-Bold,False,There is no information indicating that the font 'CourierC Bold' or its designer/manufacturer has any relation to Russia.
KorinnaBlackCTT.ttf,KorinnaBlackCTT,KorinnaBlackCTT,Regular,,,KorinnaBlackC,False,The font 'KorinnaBlackCTT' does not have any known relation to Russia. There is no information about the designer or manufacturer linking it to Russia or any other country.
Dagger.ttf,Dagger,Dagger,Regular,,,Dagger,False,"No information about the font's author or designer is provided, and there is no indication of any relation to Russia or any other country."
Olietta_script-Poesia_BoldItalic.ttf,Olietta script-Poesia BoldItalic,Olietta script-Poesia,BoldItalic,Gophmann A.L.,Gophmann A.L.,Oliettascript-Poesia-BoldItalic,True,"The designer and manufacturer, Gophmann A.L., is a Russian individual or entity, indicating that the font has a direct relation to Russia."
Myriad_Pro_Bold_Italic.ttf,MyriadPro-BoldIt,Myriad Pro,Bold Italic,,Robert Slimbach and Carol Twombly,MyriadPro-BoldIt,False,"The font 'Myriad Pro Bold Italic' was designed by Robert Slimbach and Carol Twombly, who are American type designers. There is no known relation of the font or its designers to Russia."
New_Standard_Old_Narrow_Bold.ttf,New Standard Old Narrow Bold,New Standard Old Narrow,Bold,,,NewStandardOldNarrowBold,False,There is no information indicating that the font 'New Standard Old Narrow Bold' or its designer/manufacturer has any relation to Russia or any Russian author.
a_AvanteNrBook_Regular.ttf,a_AvanteNrBook,a_AvanteNrBook,Regular,,,AAvanteNrBook,False,"The font 'a_AvanteNrBook' does not have any information about its manufacturer or designer, and there is no indication that it is related to Russia or any Russian author. No relation to Russia or any other country is found based on the provided data."
Pucha_Dawn.ttf,Pucha DAWN,Pucha DAWN,Normal,Puchakhon Fonts Entertainment,A.Z.,PuchaDAWN,False,"The font 'Pucha DAWN' is manufactured by Puchakhon Fonts Entertainment and designed by A.Z. There is no indication that the manufacturer or designer is related to Russia. The name and manufacturer suggest a non-Russian origin, and no connection to Russia or any other country is specified."
SMW_Text_NC.ttf,SMW Text NC,SMW Text NC,Regular,Jayvee D. Enaguas,,SMWTextNC,False,"The font 'SMW Text NC' is manufactured by Jayvee D. Enaguas, who does not appear to have any known relation to Russia. There is no information indicating any connection between the author or font and Russia or any related country."
PT_Sans_Narrow.ttf,PT Sans Narrow,PT Sans Narrow,Regular,ParaType Ltd,"A.Korolkova, O.Umpeleva, V.Yefimov",PTSans-Narrow,True,"The font 'PT Sans Narrow' is designed by A. Korolkova, O. Umpeleva, and V. Yefimov, who are associated with ParaType Ltd, a Russian type foundry. Therefore, the font and its designers have a direct relation to Russia."
Undergrad_Light.ttf,Undergrad Light,Undergrad,Light,,,Undergrad-Light,False,"There is no information about the manufacturer or designer of the 'Undergrad Light' font, and no indication that it is related to Russia or any Russian author."
Nautilus_script.ttf,Nautilus script,Nautilus script ,Regular,Gophmann A.L. cyr code page,,Nautilusscript,True,"The manufacturer is listed as 'Gophmann A.L. cyr code page'. The 'cyr' likely refers to Cyrillic, which is used in Russian and other Slavic languages. The name 'Gophmann A.L.' suggests a person possibly of Russian or Eastern European origin. Therefore, the font is related to Russia through its manufacturer, who appears to be associated with Cyrillic script support."
SchoolBook_Italic_Cyrillic.ttf,SchoolBook Italic Cyrillic,SchoolBook,Italic Cyrillic,,,SchoolBookItalicCyrillic,True,"The font 'SchoolBook Italic Cyrillic' is related to Russia through its use of the Cyrillic script, which is primarily used in Russian and other Slavic languages. Although the manufacturer and designer are not specified, the presence of Cyrillic characters strongly associates the font with Russia and other countries using the Cyrillic alphabet."
Minecraft_1.0.ttf,Minecraft1.0,Minecraft 1.0,Regular,http://fontstruct.com,Pwnage_Block,Minecraft1.0,False,"The font 'Minecraft1.0' was designed by Pwnage_Block and manufactured by fontstruct.com, which is an online font creation platform. There is no indication that the designer or the manufacturer is related to Russia."
Epson1.ttf,Epson1,Epson1,Regular,,,Epson1,False,"The font 'Epson1' has no available information about its manufacturer or designer, and there is no indication of any relation to Russia or Russian authors."
Fabryka_4F_Medium_Regular.ttf,Fabryka 4F Medium,Fabryka 4F Medium,Regular,"Ткаченко Сергій Сергійович (Кременчук, Україна)",Ткаченко Сергій Сергійович,Fabryka4FMedium,False,"The font 'Fabryka 4F Medium' is designed and manufactured by Ткаченко Сергій Сергійович from Kremenchuk, Ukraine. There is no indication of any relation to Russia in the author or font data provided."
Mastodon_Bold.ttf,Mastodon Bold,Mastodon,Bold,,Apostrophe,Mastodon-Bold,False,"The font 'Mastodon Bold' is designed by 'Apostrophe', which does not indicate any relation to Russia. There is no information suggesting the author or font has any connection to Russia or any other country."
Rubik_One.ttf,Rubik One Regular,Rubik One,Regular,Hubert and Fischer with Elvire Volk Leonovitch,Hubert and Fischer with Elvire Volk Leonovitch,RubikOne-Regular,True,"The font 'Rubik One' was designed by Hubert and Fischer with Elvire Volk Leonovitch. Elvire Volk Leonovitch is a Russian type designer, which establishes a direct relation to Russia through the designer's nationality."
White_Rose_Deco.ttf,White Rose Deco,White Rose Deco,Regular,Gophmann A.L. cyr code page,,WhiteRoseDeco,True,"The manufacturer is listed as 'Gophmann A.L. cyr code page'. The 'cyr' likely refers to Cyrillic, which is used in Russian and other Slavic languages. The name 'Gophmann A.L.' suggests a person or entity possibly of Russian or Eastern European origin. Therefore, the font is related to Russia through its manufacturer, who appears to specialize in Cyrillic code pages."
Cafe_de_France.ttf,Cafe de France ,Cafe de France ,Regular,Digitized by Dan X. Solo. and A.Gophmann,,CafedeFrance,False,The font 'Cafe de France' is digitized by Dan X. Solo and A. Gophmann. There is no indication that these authors or the font have any relation to Russia.
M+_2p_light.ttf,M+ 2p light,M+ 2p,light,,,mplus-2p-light,False,The font 'M+ 2p light' does not have any known relation to Russia. It is a Japanese font family designed primarily for use in Japanese typography.
FuturisXCondC.ttf,FuturisXCondC,FuturisXCondC,Regular,,,FuturisXCondC,False,There is no information indicating that the font 'FuturisXCondC' or its designer/manufacturer has any relation to Russia.
Harlequinade_Madness.ttf,Harlequinade Madness,Harlequinade Madness,Regular,A.Gophmann (letters mix font),,HarlequinadeMadness,False,The font 'Harlequinade Madness' is manufactured by A.Gophmann (letters mix font). There is no indication that the manufacturer or the font has any relation to Russia or Russian authors.
Star_Trek_Fuente_Cyrillic_Italic.ttf,Star Trek Fuente CYRI Italic,Star Trek Fuente CYRI,Italic,AA,,StarTrekFuenteCYRI-Italic,True,"The font name includes 'CYRI', which suggests it supports Cyrillic script, commonly used in Russia and other Slavic countries. Although the designer is not specified, the use of Cyrillic indicates a relation to Russia or Russian language contexts."
Damask_Dings_1.ttf,Damask Dings1,Damask Dings1,Normal,,"Lauren Thompson, ""Nymphont""",DamaskDings1,False,"The designer, Lauren Thompson, also known as ""Nymphont"", does not have any known relation to Russia based on the provided information and available data."
Charis_SIL.ttf,Charis SIL,Charis SIL,Regular,SIL International,,CharisSIL,False,"The font 'Charis SIL' is manufactured by SIL International, an organization based in the United States. There is no indication that the font or its manufacturer has any relation to Russia."
Graffiti2CTT.ttf,Graffiti2CTT,Graffiti2CTT,Regular,,,Graffiti2-CTT,False,"There is no information about the font's author or designer, and no indication that it is related to Russia or any other country."
Vremya_Italic.ttf,Vremya Italic,Vremya,Italic,,,VremyaItalic,True,"The font name 'Vremya' is a Russian word meaning 'time'. Although the manufacturer and designer are not specified, the use of a Russian word for the font name suggests a relation to Russia, likely indicating the font was designed or intended for use in Russian language contexts."
a_BraggaTitul.ttf,a_BraggaTitul,a_BraggaTitul,Regular,,,a_BraggaTitul,False,There is no information about the author or designer of the font 'a_BraggaTitul' to determine any relation to Russia or any other country.
AGReverance_Oblique.ttf,AGReverance Oblique,AGReverance,Oblique,,,AGReverance-Oblique,False,There is no information indicating that the font AGReverance Oblique or its designer/manufacturer has any relation to Russia.
LazurskiC_Bold_Italic.ttf,LazurskiC-BoldItalic,LazurskiC,Bold Italic,,,LazurskiC-BoldItalic,True,"The font name 'LazurskiC' suggests a Slavic origin, likely Russian or from a Russian-speaking region. Although the manufacturer and designer are not specified, the name 'Lazurski' is a Slavic surname commonly found in Russia and neighboring countries, indicating a probable relation to Russia."
Visitor_Rus.ttf,Visitor_Rus,Visitor_Rus,Normal,,Beerman,Visitor_Rus,True,"The font name 'Visitor_Rus' suggests a relation to Russia ('Rus' is a common abbreviation for Russia). The designer is 'Beerman', which does not appear to be a Russian name, indicating the designer may not be Russian. However, the font itself is related to Russia by name, possibly designed to support Cyrillic or Russian characters."
Georgia_Bold_Italic.ttf,Georgia Gras Italique,Georgia,Gras Italique,,,Georgia-BoldItalic,False,"The font 'Georgia' was designed by Matthew Carter, an American type designer, and is not related to Russia. The font name 'Georgia' refers to the U.S. state, not the country of Georgia or Russia."
Ardeco-webfont.ttf,Ardeco,Ardeco,Regular,"Irina Chukina, Jovanny Lemonad","Irina Chukina, Jovanny Lemonad",Ardeco,True,"The font 'Ardeco' is designed by Irina Chukina and Jovanny Lemonad. Irina Chukina is a Russian designer, indicating a direct relation to Russia through the author."
Mipgost.ttf,Mipgost,Mipgost,Regular,,,Mipgost,True,"The font name 'Mipgost' suggests a connection to Russian standards, as 'GOST' refers to a set of technical standards maintained by the Euro-Asian Council for Standardization, Metrology and Certification (EASC), originating from the Soviet Union and used in Russia and other CIS countries. Although the manufacturer and designer are not specified, the font's name indicates a relation to Russia through these standards."
Baskerville_A.Z_PS_Bold.ttf,Baskerville_A.Z_PS Bold,Baskerville_A.Z_PS,Bold,,,BaskervilleAZPSBold,False,"The font 'Baskerville_A.Z_PS Bold' does not have any known relation to Russia. The Baskerville typeface originates from England, designed by John Baskerville in the 18th century. There is no information indicating any Russian author or designer involvement with this specific font."
GaramondCTT.ttf,GaramondCTT,GaramondCTT,Regular,,,GaramondCTT,False,"The font 'GaramondCTT' does not have any known relation to Russia. It is a variant of the Garamond typeface, which originates from the work of Claude Garamond, a French type designer from the 16th century. There is no information linking this font or its designer to Russia or any Russian-related context."
Lainy_Day.ttf,LainyDay,LainyDay,Regular,,,LainyDay,False,There is no information indicating that the font 'LainyDay' or its author/designer has any relation to Russia or any other country.
PragmaticaWINCTT_Italic.ttf,PragmaticaWINCTT Italic,PragmaticaWINCTT,Italic,,,PragmaticaWINC-Oblique,False,There is no information indicating that the font PragmaticaWINCTT Italic or its designer/manufacturer is related to Russia or any other country.
Baron_Munchausen.ttf,Baron Munchausen Normal,Baron Munchausen,Normal,Gophmann A.L.,Gophmann A.L.,BaronMunchausen-Normal,True,"The designer and manufacturer, Gophmann A.L., is a Russian individual or entity, indicating that the font 'Baron Munchausen Normal' has a direct relation to Russia."
MachineCTT_Bold.ttf,MachineCTT Bold,MachineCTT,Bold,,,MachineCTT-Bold,False,"The font 'MachineCTT Bold' has no available information indicating any relation to Russia. There is no manufacturer or designer data provided, and no known association with Russian entities or culture."
MicroN56.ttf,microN56,microN56,Regular,,,microN56,False,There is no information indicating that the font 'microN56' or its designer/manufacturer has any relation to Russia.
Rueck_Left.ttf,RueckLeft,Rueck Left,Regular,Peter Wiegel,Peter Wiegel,RueckLeft,False,"The font 'RueckLeft' was designed and manufactured by Peter Wiegel, who is not related to Russia. There is no indication that the author or font has any connection to Russia."
PragmaticaCondCTT.ttf,PragmaticaCondCTT,PragmaticaCondCTT,Regular,,,PragmaticaCondC,False,There is no information indicating that the font PragmaticaCondCTT or its designer/manufacturer is related to Russia or any other country.
Victoriana.ttf,Victoriana,Victoriana,Regular,Gophmann A.L.,Gophmann A.L.,Victoriana,True,"The font 'Victoriana' is designed and manufactured by Gophmann A.L., a Russian type designer and foundry. Gophmann is known for creating fonts with a Russian origin, indicating that the font is related to Russia through its author and manufacturer."
KorinnaBlackC_Regular.ttf,KorinnaBlackC,KorinnaBlackC,Regular,,,KorinnaBlackC,False,"The font 'KorinnaBlackC' does not have any known relation to Russia. There is no information about the manufacturer or designer, and the font name does not indicate any connection to Russia or Russian culture."
JuliaSoft_Special_Font_N1.ttf,JuliaSoft Special Font N1,JuliaSoft Special Font N1,Normal,DedMozz Co,DedMozz,JuliaSoft Special Font N1,True,"The font 'JuliaSoft Special Font N1' is designed by 'DedMozz', a name that suggests a Russian origin or connection. The manufacturer 'DedMozz Co' also indicates a possible Russian affiliation, as 'Ded' means 'grandfather' in Russian, commonly used in Russian nicknames or brand names. Therefore, both the designer and manufacturer appear to be related to Russia."
Poiret_One_Regular.ttf,Poiret One,Poiret One,Regular,Denis Masharov,Denis Masharov,PoiretOne-Regular,True,"The font 'Poiret One' was designed by Denis Masharov, who is a Russian type designer. Therefore, the author is related to Russia."
v_Self_Destruct_Button_BB.ttf,v_Self Destruct Button BB,v_Self Destruct Button BB,Regular,,,v_SelfDestructButtonBB,False,"The font 'v_Self Destruct Button BB' has no available information about its author or designer, and there is no indication of any relation to Russia or any other country."
Nina_Bold.ttf,Nina Gras,Nina,Gras,Microsoft Corp.,Matthew Carter,Nina-Bold,False,"The font 'Nina Gras' was designed by Matthew Carter, a British-American type designer, and manufactured by Microsoft Corp., an American company. There is no known relation to Russia in the author or font."
Florentia_Thin_Regular.ttf,Florentia Thin,Florentia Thin,Regular,Zetafonts,Francesco Canovaro,Florentia-Thin,False,"The designer, Francesco Canovaro, is an Italian type designer, and the manufacturer Zetafonts is an Italian foundry. There is no relation to Russia."
Severina.ttf,Severina,Severina,Regular,Gophmann AL,,Severina,True,"The font 'Severina' is manufactured by Gophmann AL, which is a Russian type foundry. Therefore, the font is related to Russia through its manufacturer."
Start.ttf,Start,Start,Normal,,,Start,False,There is no information indicating that the font 'Start' or its designer/manufacturer has any relation to Russia.
CourierWINCTT_BoldItalic.ttf,CourierWINCTT BoldItalic,CourierWINCTT,BoldItalic,,,CourierWINC-BoldItalic,False,"The font 'CourierWINCTT BoldItalic' does not have any known relation to Russia. There is no information about the manufacturer or designer, and the font name and family do not indicate any connection to Russia or Russian culture."
Take_cover.ttf,Take Cover,Take Cover,Regular,,,TakeCover,False,There is no information indicating that the font 'Take Cover' or its author/designer is related to Russia.
FrizQuadrataCTT_Italic.ttf,FrizQuadrataCTT Italic,FrizQuadrataCTT,Italic,,,FrizQuadrataC-Italic,False,"The font 'FrizQuadrataCTT Italic' does not have any known relation to Russia. It is a variant of the Friz Quadrata typeface, which was originally designed by Ernst Friz and Victor Caruso, both of whom are not Russian. There is no indication that the font or its designers have any connection to Russia or Russian culture."
Palatino_Normal-Italic.ttf,Palatino Normal-Italic,Palatino,Normal-Italic,,,PalatinoNormal-Italic,False,"The font Palatino was designed by Hermann Zapf, a German type designer, and has no direct relation to Russia."
Westfort_Deco.ttf,Westfort Deco,Westfort Deco,Regular,Gophmann A.L. cyr. code page,,WestfortDeco,True,"The manufacturer is listed as 'Gophmann A.L. cyr. code page'. The abbreviation 'cyr.' likely refers to Cyrillic, which is used in Russian and other Slavic languages. The name 'Gophmann A.L.' suggests a person or entity possibly of Russian or Eastern European origin. Therefore, the font is related to Russia through its manufacturer, who appears to specialize in Cyrillic code pages."
FuturisCTT.ttf,FuturisCTT,FuturisCTT,Regular,,,FuturisCTT,False,There is no information indicating that the font 'FuturisCTT' or its designer/manufacturer has any relation to Russia or any other country.
UkrainianJikharev.ttf,UkrainianJikharev,UkrainianJikharev,Regular,,,UkrainianJikharev,False,"The font name 'UkrainianJikharev' suggests a connection to Ukraine, and there is no information indicating any relation to Russia or Russian authors."
Rap_my_Hip-Hop.ttf,Rap my Hip-Hop Regular,Rap my Hip-Hop,Regular,http://fontstruct.com,architaraz,Rap-my-Hip-Hop,False,The font 'Rap my Hip-Hop Regular' is designed by 'architaraz' and manufactured by fontstruct.com. There is no indication that the author or font has any relation to Russia.
PantagruelC.ttf,PantagruelC,PantagruelC,Regular,Gophmann A.L. cyr code page,,PantagruelC,True,"The font manufacturer is 'Gophmann A.L.', which is associated with a Cyrillic code page, indicating a relation to Russia or Russian language usage."
Pragmatica_BoldItalic_Cyrillic.ttf,Pragmatica BoldItalic Cyrillic,Pragmatica,BoldItalic Cyrillic,,,PragmaticaBoldItalicCyrillic,True,"The font 'Pragmatica BoldItalic Cyrillic' includes Cyrillic script support, which is primarily used in Russian and other Slavic languages. Although the manufacturer and designer are not specified, the presence of Cyrillic characters indicates a relation to Russia or Russian-speaking regions."
Palatino_Linotype.ttf,Palatino Linotype,Palatino Linotype,Normal,LINOTYPE-HELL AG,Hermann Zapf,PalatinoLinotype-Roman,True,"The font Palatino Linotype was designed by Hermann Zapf, a German type designer. While Hermann Zapf himself is not Russian, the font is widely used internationally, including in Russia. The manufacturer, LINOTYPE-HELL AG, is a German company. Therefore, the font has no direct Russian origin but is related to Russia through its usage and distribution."
OlgaCTT.ttf,OlgaCTT,OlgaCTT,Normal,,,OlgaCTT,True,"The font name 'OlgaCTT' suggests a connection to Russia, as 'Olga' is a common Russian female name. Although the manufacturer and designer are not specified, the use of a Russian name indicates a likely relation to Russia."
Newland__Black.ttf,Newland  Black,Newland, Black,,,Newland-Black,False,There is no information indicating that the font 'Newland Black' or its designer/manufacturer has any relation to Russia.
Country_Western_Swing_Title.ttf,Country Western Swing Title,Country Western Swing Title,Regular,Michael Hagemann www.fontmesa.com,Michael Hagemann,CountryWesternSwingTitle,False,"The font 'Country Western Swing Title' was designed by Michael Hagemann, who is associated with www.fontmesa.com. There is no indication that the author or the font has any relation to Russia."
Calligraphia_Two.ttf,Calligraphia Two,Calligraphia Two,Regular,,,CalligraphiaTwo,False,There is no information indicating that the font 'Calligraphia Two' or its designer/manufacturer has any relation to Russia or any Russian author.
Astoria_Deco.ttf,Astoria Deco Medium,Astoria Deco,Medium,Gophmann Alexandria Leopoldovna,,AstoriaDeco-Medium,True,"The manufacturer of the font 'Astoria Deco Medium' is Gophmann Alexandria Leopoldovna, which is a Russian name, indicating a relation to Russia."
Palatino_Linotype_Italic.ttf,Palatino Linotype Italique,Palatino Linotype,Italique,LINOTYPE-HELL AG,Hermann Zapf,PalatinoLinotype-Italic,False,"The font 'Palatino Linotype Italique' was designed by Hermann Zapf, a German type designer, and manufactured by LINOTYPE-HELL AG, a German company. There is no relation to Russia in the author or manufacturer."
Franklin_Gothic_Heavy.ttf,Franklin Gothic Heavy,Franklin Gothic Heavy,Regular,,,FranklinGothic-Heavy,False,"The font 'Franklin Gothic Heavy' is not related to Russia. It is an American typeface designed by Morris Fuller Benton in the early 20th century, primarily associated with the United States."
M+_1p_bold.ttf,M+ 1p bold,M+ 1p,bold,,,mplus-1p-bold,True,"The M+ 1p font family is a Japanese open-source font project, but it was created by a Japanese designer and community. There is no direct relation to Russia in terms of author or origin. The font is primarily related to Japan."
Yiggivoo_Unicode.ttf,Yiggivoo Unicode,Yiggivoo Unicode,Regular,Peter Wiegel,Peter Wiegel,YiggivooUnicode,True,"The designer and manufacturer, Peter Wiegel, is known for his work on fonts related to Cyrillic scripts, which are used in Russia and other countries. Therefore, the font 'Yiggivoo Unicode' is related to Russia through its support of Cyrillic characters and the designer's focus on scripts used in Russian language contexts."
Country_Western_Black.ttf,Country Western Black,Country Western Black,Regular,Michael Hagemann www.fontmesa.com,Michael Hagemann,CountryWesternBlack,False,"The font 'Country Western Black' is designed and manufactured by Michael Hagemann, who is associated with www.fontmesa.com. There is no indication that the author or the font has any relation to Russia."
Albertus_Medium.ttf,Albertus Medium,Albertus Medium,Normal,,,AlbertusMedium-Regular,False,"The font Albertus Medium has no known relation to Russia. It was designed by Berthold Wolpe, a German-born British typographer, and has no direct connection to Russia or Russian culture."
GaramondBookCTT_BoldItalic.ttf,GaramondBookCTT BoldItalic,GaramondBookCTT,BoldItalic,,,GaramondBookC-BoldItalic,False,"The font 'GaramondBookCTT BoldItalic' is a variant of the Garamond typeface family, which originates from the work of Claude Garamond, a French type designer from the 16th century. There is no known relation of this font or its designer to Russia."
Draculon.ttf,Draculon,Draculon,Regular,Ray Larabie,Ray Larabie,Draculon,False,"The font 'Draculon' was designed by Ray Larabie, a Canadian type designer. There is no known relation of the author or the font to Russia."
Silici_Bold.ttf,Silici Strong BoldMarkers,Silici Strong BoldMarkers,Regular,,indieferdie,SiliciStrong-BoldMarkers,False,"The font 'Silici Strong BoldMarkers' is designed by 'indieferdie', which does not indicate any relation to Russia. There is no information suggesting the author or font has any connection to Russia or Russian culture."
Esenin_script_One.ttf,Esenin script One,Esenin script One,Regular,Alexandra Gophmann,Gophmann A.L,EseninscriptOne,True,"The font is named 'Esenin script One', which likely references Sergei Yesenin (also spelled Esenin), a famous Russian poet. The designer, Alexandra Gophmann (Gophmann A.L), appears to have created a font inspired by or dedicated to Yesenin, indicating a cultural connection to Russia through the font's name and inspiration."
